customer_id,name,gender,age,email,phone,address,city,state,zipcode,registration_date,total_purchases,product_id,Metal_Type,payment_method,payment_amount,discount_applied,tax_amount,total_amount
1,Norma Fisher,Male,56,tammy76@example.com,459.638.2421x9489,"578 Michael Island
New Thomas, VI 68835",Bryanside,Alabama,12726,12/26/2022,4,91,Silver,PayPal,3937.58,499.36,393.76,3831.98
1,Norma Fisher,Male,56,tammy76@example.com,459.638.2421x9489,"578 Michael Island
New Thomas, VI 68835",Bryanside,Alabama,12726,12/26/2022,2,86,Bronze,PayPal,3645.98,883.56,364.6,3127.02
3,Lisa Clayton,Female,46,john51@example.org,001-933-328-7115,"185 Tamara Rapids Suite 719
Stewartbury, LA 24601",Port Jacob,South Carolina,86570,10/20/2021,2,61,Gold,PayPal,3374.34,374.49,337.43,3337.28
3,Lisa Clayton,Female,46,john51@example.org,001-933-328-7115,"185 Tamara Rapids Suite 719
Stewartbury, LA 24601",Port Jacob,South Carolina,86570,10/20/2021,5,9,Bronze,Debit Card,1799.43,266.71,179.94,1712.66
1,Norma Fisher,Male,56,tammy76@example.com,459.638.2421x9489,"578 Michael Island
New Thomas, VI 68835",Bryanside,Alabama,12726,12/26/2022,1,12,Silver,Credit Card,111.58,26.68,11.16,96.06
6,Bianca Hernandez,Female,22,kirbyrachael@example.net,+1-368-748-3396x94775,"533 Jessica Crescent Apt. 525
Cabreraville, WY 19684",North Lisa,South Dakota,70519,3/21/2020,1,4,Gold,Creadit Card,722.46,169.34,72.25,625.37
7,Colin Greer,Female,45,myersmitchell@example.org,2908321730,"31456 Bruce Mountain Apt. 916
West Michael, VA 62133",Lake Emily,Wyoming,8109,12/8/2020,2,21,Gold,PayPal,925.83,107.18,92.58,911.23
8,David Carlson,Female,42,awade@example.com,+1-269-684-5642x80715,"9459 Jennifer Loaf Suite 109
Lake Matthew, IA 29742",Grayshire,Nebraska,4635,1/5/2023,1,90,Platinum,PayPal,2691.84,567.76,269.18,2393.26
9,Patricia Fletcher,Female,66,seangreen@example.org,887.589.0075x470,"206 Stewart Forest
Lake Karenhaven, RI 13317",North Charlene,Illinois,40139,12/21/2021,1,89,Bronze,Creadit Card,4772.07,402.11,477.21,4847.17
10,Ariel Nash,Male,57,bburton@example.com,514.628.5124x000,"097 Bowman Landing Apt. 369
Alanberg, KY 44201",Kristineland,Michigan,81836,11/23/2019,5,6,Silver,Credit Card,1683.75,367.1,168.38,1485.03
11,Chase Silva,Male,33,ralph82@example.com,873-704-2814,"87755 Timothy Squares
Simmonsport, MA 96806",East Courtney,Missouri,84240,5/1/2020,1,9,Silver,Debit Card,3603.07,487.98,360.31,3475.4
12,Christina Walker,Male,57,zsmith@example.net,547.779.3615x34926,"731 Sanders Fords
Port Jasonberg, CT 26449",Grayside,Georgia,14230,9/28/2023,4,19,Silver,Credit Card,1299.74,274.48,129.97,1155.23
13,Margaret Henderson,Female,19,ushelton@example.com,438.893.0555x0824,"18013 Billy Bridge Suite 522
Schmitthaven, MS 69943",New Christopherhaven,Wisconsin,79162,3/29/2020,1,96,Platinum,Credit Card,1823.91,336.2,182.39,1670.1
